2016-08-07 18:54:53,338 [main]  INFO RootsEnvironment Initializing Roots environment.
2016-08-07 18:54:53,355 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/elk.properties
2016-08-07 18:54:53,375 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/default.properties
2016-08-07 18:54:53,499 [main]  INFO FileConfigLoader Loading benchmark from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/benchmarks/javabook.properties
2016-08-07 18:54:53,513 [main]  INFO BenchmarkingService Scheduled job for: javabook [Benchmark]
2016-08-07 18:54:53,514 [main]  INFO AnomalyLogger Initializing AnomalyLogger
2016-08-07 18:54:53,523 [main]  INFO FileConfigLoader Loading detector from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/detectors/javabook.properties
2016-08-07 18:54:53,529 [main]  INFO AnomalyDetectorService Scheduled job for: javabook [SLOBasedDetector]
2016-08-07 18:54:53,537 [Roots-anomaly-detector-scheduler_Worker-1] DEBUG SLOBasedDetector Updating history for javabook (Sun Aug 07 17:53:53 PDT 2016 - Sun Aug 07 18:53:53 PDT 2016)
2016-08-07 18:54:53,632 [Roots-benchmark-scheduler_Worker-1] DEBUG Benchmark Benchmark result for javabook [GET /]: 19 ms
2016-08-07 18:54:53,678 [Roots-anomaly-detector-scheduler_Worker-1] DEBUG SLOBasedDetector Calculating SLO with 177 data points.
2016-08-07 18:54:53,683 [Roots-anomaly-detector-scheduler_Worker-1]  INFO SLOBasedDetector SLO metrics. Supported: 83.61581920903954, Expected: 95.0
2016-08-07 18:54:55,625 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 11.0, 19.0]
2016-08-07 18:54:55,626 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 19.0]
2016-08-07 18:54:55,626 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 19.0]
2016-08-07 18:54:55,635 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 11.0, 18.0]
2016-08-07 18:54:55,636 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 19.0]
2016-08-07 18:54:55,636 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 11.0, 20.0]
2016-08-07 18:54:55,637 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 21.0]
2016-08-07 18:54:55,647 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 18.0, 24.0]
2016-08-07 18:54:55,648 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 19.0]
2016-08-07 18:54:55,648 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 11.0, 20.0]
2016-08-07 18:54:55,649 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 18.0]
2016-08-07 18:54:55,658 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 19.0]
2016-08-07 18:54:55,658 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 11.0, 18.0]
2016-08-07 18:54:55,659 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 20.0]
