[sla] 230 1424421077682   141 133.79   
[sla] 231 1424421141956   141 133.77   
[sla] 232 1424421206638   138 133.75   
[sla] 233 1424421271487   138 133.73   
[sla] 234 1424421335849   138 133.71   
[sla] 235 1424421399991   138 133.70   
[sla] 236 1424421464281   138 133.68   
[sla] 237 1424421528536   138 133.66   
[sla] 238 1424421592376   138 133.64   
[sla] 239 1424421656453   138 133.63   
[sla] 240 1424421720091   138 133.61   
[sla] 241 1424421783663   138 133.59   
[sla] 242 1424421847477   138 133.57   
[sla] 243 1424421911211   138 133.55   
[sla] 244 1424421975358   138 133.54   
[sla] 245 1424422039423   138 133.52   
[sla] 246 1424422103251   138 133.50   
[sla] 247 1424422167189   138 133.48   
[sla] 248 1424422230949   138 133.47   
[sla] 249 1424422294902   138 133.45   
[sla] 250 1424422360040   138 133.43   
[sla] 251 1424422424129   138 133.41   
[sla] 252 1424422489027   138 133.39   
[sla] 253 1424422552812   138 133.38   
[sla] 254 1424422617053   138 133.36   
[sla] 255 1424422680667   138 133.34   
[sla] 256 1424422744836   138 133.32   
[sla] 257 1424422808485   138 133.31   
[sla] 258 1424422872174   138 133.29   
[sla] 259 1424422990406   138 133.25   
[sla] 260 1424423055112   138 133.24   
[sla] 261 1424423118736   138 133.22   
[sla] 262 1424423183825   138 133.20   
[sla] 263 1424423248250   138 133.18   
[sla] 264 1424423313411   138 133.17   
[sla] 265 1424423378583   138 133.15   
[sla] 266 1424423443495   138 133.13   
[sla] 267 1424423509264   138 133.11   
[sla] 268 1424423574432   138 133.09   
[sla] 269 1424423638635   138 133.07   
[sla] 270 1424423703634   138 133.06   
[sla] 271 1424423768780   138 133.04   
[sla] 272 1424423832960   138 133.02   
[sla] 273 1424423896548   138 133.00   
[sla] 274 1424423961189   138 132.99   
[sla] 275 1424424025085   138 132.97   
[sla] 276 1424424088585   138 132.95   
[sla] 277 1424424152524   138 132.93   
[sla] 278 1424424216091   138 132.91   
[sla] 279 1424424280063   138 132.90   
[sla] 280 1424424344163   138 132.88   
[sla] 281 1424424408204   138 132.86   
[sla] 282 1424424472647   138 132.84   
[sla] 283 1424424536093   138 132.83   
[sla] 284 1424424599633   138 132.81   
[sla] 285 1424424663365   138 132.79   
[sla] 286 1424424728148   138 132.77   
[sla] 287 1424424791643   138 132.75   
[sla] 288 1424424855459   138 132.74   
[sla] 289 1424424919073   138 132.72   
[sla] 290 1424424983196   138 132.70   
[sla] 291 1424425048377   138 132.68   
[sla] 292 1424425112835   138 132.67   
[sla] 293 1424425177355   138 132.65   
[sla] 294 1424425242725   138 132.63   
[sla] 295 1424425308390   138 132.61   
[sla] 296 1424425372513   138 132.59   
[sla] 297 1424425437574   138 132.58   
[sla] 298 1424425502249   138 132.56   
[sla] 299 1424425566744   138 132.54   
[sla] 300 1424425631512   138 132.52   
[sla] 301 1424425694859   138 132.50   
[sla] 302 1424425758426   138 132.49   
[sla] 303 1424425821868   138 132.47   
[sla] 304 1424425885762   138 132.45   
[sla] 305 1424425949265   138 132.43   
[sla] 306 1424426012603   138 132.42   
[sla] 307 1424426075996   138 132.40   
[sla] 308 1424426139854   138 132.38   
[sla] 309 1424426203850   138 132.36   
[sla] 310 1424426268528   138 132.34   
[sla] 311 1424426332200   138 132.33   
[sla] 312 1424426395920   138 132.31   
[sla] 313 1424426459373   138 132.29   
[sla] 314 1424426523693   138 132.27   
[sla] 315 1424426587528   138 132.26   
[sla] 316 1424426652253   138 132.24   
[sla] 317 1424426715608   138 132.22   
[sla] 318 1424426779253   138 132.20   
[sla] 319 1424426845267   138 132.18   
[sla] 320 1424426909162   138 132.17   
[sla] 321 1424426973611   138 132.15   
[sla] 322 1424427037952   138 132.13   
[sla] 323 1424427102326   138 132.11   
[sla] 324 1424427166640   138 132.09   
[sla] 325 1424427231070   138 132.08   
[sla] 326 1424427295613   138 132.06   
[sla] 327 1424427359720   138 132.04   
[sla] 328 1424427424352   138 132.02   
[sla] 329 1424427489114   138 132.01   
[sla] 330 1424427553495   138 131.99   
[sla] 331 1424427617915   138 131.97   
[sla] 332 1424427681735   138 131.95   
